zipcode,medhome,sqfthome,rent
43542,234500,110,2014
35125,115100,74,969
12865,113800,76,1564
44050,145300,91,1116
1521,197600,167,1519
12846,172800,121,1597
48005,196800,118,1276
38015,105800,68,968
37820,119300,75,939
60661,261200,281,1968
63362,164200,124,1121
37757,113700,74,1004
31788,122100,69,1040
38357,71100,54,849
13309,111500,75,1132
3869,205200,121,1724
24092,151100,99,1159
48634,95200,0,870
12134,172900,125,1500
1741,775200,268,3185
13132,115900,85,1342
50109,230200,143,1702
49285,141800,95,1057
98247,306500,150,1416
68372,155800,130,1259
6060,337900,141,2255
46979,123200,71,925
47042,106700,75,897
47462,105400,75,932
51346,132800,0,1015
61546,125000,80,1149
61264,106800,92,827
13326,249000,143,1802
10548,412700,0,2592
1370,235000,138,1790
27258,136200,88,949
26038,118800,83,1018
75691,161300,66,1407
37137,97800,75,899
32008,125700,86,1175
44086,153000,96,1039
72365,57500,42,695
73007,319800,145,2043
48631,112900,0,930
53075,159000,0,1191
28163,164300,94,1202
74330,138700,86,1033
19551,176200,110,1311
62084,63600,64,753
60407,112500,85,1201
80235,277000,168,1819
70377,78300,0,1130
56063,262700,159,1468
47220,113900,78,950
3285,139900,98,1164
66021,140800,120,1190
3753,218400,127,1533
38551,62400,47,843
59825,218500,158,1140
80118,541300,233,2953
6256,150100,107,1321
12850,194800,133,1603
30415,144000,76,1095
45302,165000,90,1247
65648,133700,83,842
21057,393100,181,2220
21830,151900,98,1268
53004,193400,0,1248
7750,603600,319,2582
18519,89000,0,1093
32431,66000,51,652
28097,147600,89,1167
48819,151900,103,1071
49237,108100,0,1014
35117,144600,94,1101
27505,145500,94,1103
29142,120600,72,1089
93225,153600,124,1191
96755,348900,287,1562
17048,89700,55,934
11941,517700,0,13948
6469,198700,140,1540
95722,452000,236,1998
44402,110700,74,699
38260,71300,52,807
29438,357600,222,2059
19041,682000,237,3886
12944,88600,68,1545
98339,200500,149,1312
6853,1086500,486,4577
49256,88900,55,846
67101,166600,107,1335
97327,175200,126,1153
64061,184400,88,1099
77564,111800,75,1187
37826,121500,74,1001
36530,208000,112,1339
35224,45700,38,720
13030,110600,84,1339
30535,116600,83,977
55386,348800,171,2224
21655,169800,111,1412
43450,129700,84,1164
19543,244100,119,1583
24175,171800,115,1273
80117,320800,205,1779
7439,205800,134,1723
14435,147700,103,1528
48449,95200,0,797
18929,425100,167,2516
46536,107700,72,824
21915,208000,144,1386
47140,71600,55,754
7927,431400,232,2608
98828,226700,166,1340
18034,257700,138,1741
6412,282100,168,1689
28090,94600,65,809
18232,47400,32,733
10925,203500,175,1704
12545,286200,168,1923
12832,112000,77,1571
28604,218600,122,1257
44814,133900,88,1178
18250,70700,47,788
30178,149600,94,1082
13042,119900,81,1287
76569,115300,77,948
12037,181600,117,1535
10506,1163500,371,6181
14081,120900,93,992
13733,89700,60,1341
27539,284600,130,1658
31606,119000,69,928
53560,208400,107,1500
96013,127600,105,951
55375,267300,149,1667
44445,102300,74,1015
6890,853500,343,4216
85263,491600,193,2487
97446,191000,138,1188
18917,253500,145,1652
18038,191600,121,1420
8828,199700,153,1699
54414,102900,0,877
20685,276500,150,1740
12501,239500,158,1774
44046,157300,98,1063
85137,80200,63,857
47359,68700,50,729
97064,139800,116,1192
48179,163700,0,1089
32564,119700,80,1016
8804,269200,143,1863
29040,94500,74,859
18088,177400,113,1393
37022,116800,85,1064
43001,275000,157,1343
8026,183300,120,1654
37705,160300,100,1160
29682,157200,101,1214
37408,187200,123,1401
37375,240400,119,1435
49034,134000,0,1115
58474,103800,0,1112
13409,91800,62,1270
54940,179600,0,1057
15473,111300,84,1020
74130,56400,48,743
38001,65100,46,817
96064,131600,96,1309
3263,173600,93,1402
12446,160500,118,1398
61275,183600,0,967
98392,213800,168,1411
72946,96600,63,794
37183,165900,87,1171
53933,156100,90,1008
76035,256600,105,1804
2639,263500,278,1386
14840,208500,123,1726
17554,173200,117,1199
45174,467300,193,3209
6783,597600,260,3702
96088,181800,124,1211
14464,115100,92,1276
1515,207400,150,1452
49451,125600,88,981
96796,449500,357,2039
37709,134800,79,1105
54479,111900,0,859
26150,137900,83,1077
2367,360800,186,2166
97495,281900,143,1258
75708,72600,0,945
34637,223700,111,1509
65010,152600,92,1193
1223,218100,158,1541
95631,322800,191,1717
61738,111800,92,1214
71051,155200,82,1364
66533,110700,73,1025
15035,61800,50,830
46792,91700,59,870
30171,139800,92,1110
89449,319300,272,1554
8243,639100,373,2260
75173,180800,104,1568
66539,139400,98,1158
14172,131600,88,1144
3811,291400,128,1995
15222,302100,224,1894
11719,341000,0,3402
15530,102100,65,1003
30625,289200,148,1351
32181,99200,59,1108
18426,143200,0,1279
32735,145200,89,1170
30303,128700,125,1258
19555,142300,101,1190
78263,193000,110,1320
50161,169300,114,1238
8533,297400,157,1893
31744,96100,58,995
15144,99900,73,939
12758,120500,85,1243
53919,123000,0,816
30750,228100,112,1257
64136,129400,89,917
53139,200800,143,1275
60408,133800,96,1442
54474,115700,69,901
35073,54000,42,754
17846,134600,88,1151
96114,204500,121,1299
64150,170500,110,1349
12027,227500,134,1878
97827,119800,0,1050
2764,283500,186,1766
44688,92200,67,816
26034,61500,50,704
74108,83200,69,883
12484,251400,159,1699
32328,412500,242,2071
7088,190100,0,1912
52637,124300,68,1016
46982,74900,64,913
17073,170700,113,1066
27562,229800,144,1396
49252,106900,83,965
1225,192300,117,1501
21625,215300,128,1498
21758,237600,134,1572
35147,170700,131,1320
8751,264300,236,1568
70450,128600,0,1219
37026,139600,88,1097
37345,87900,57,933
