renters_id,disasterNumber,state,county,zipCode,validRegistrations,totalInspectedWithNoDamage,totalWithModerateDamage,totalWithMajorDamage,totalWithSubstantialDamage,approvedForFemaAssistance,repairReplaceAmount,rentalAmount,otherNeedsAmount,approvedBetween1And10000,approvedBetween10001And25000,approvedBetween25001AndMax,totalMaxGrants
23094,1634,TN,Cannon (County),37190,11,5,0,0,0,1,0,864,0,1,0,0,0
23095,1634,TN,Davidson (County),37243,1,0,0,0,0,0,0,0,0,0,0,0,0
23096,1634,TN,Gibson (County),38316,39,35,0,0,0,25,0,10271,60069,22,3,0,0
23097,1634,TN,Weakley (County),38237,1,1,0,0,0,0,0,0,0,0,0,0,0
23098,1634,TN,Haywood (County),38012,4,4,0,0,0,1,0,400,0,1,0,0,0
23099,1635,MO,Stoddard (County),63841,1,1,0,0,0,1,0,0,455,1,0,0,0
23100,1635,MO,Pemiscot (County),63840,2,2,0,0,0,1,0,464,240,1,0,0,0
23101,1636,AR,Greene (County),72425,1,1,0,0,0,1,0,456,0,1,0,0,0
23102,1636,AR,White (County),72137,3,2,0,0,0,0,0,0,0,0,0,0,0
23103,1640,HI,Honolulu (County),96813,2,2,0,0,0,0,0,0,0,0,0,0,0
23104,1640,HI,Honolulu (County),96744,5,4,0,0,0,3,0,2202,5995,3,0,0,0
23105,1640,HI,Kauai (County),96747,1,1,0,0,0,0,0,0,0,0,0,0,0
23106,1642,MA,Essex (County)(in PMSA 11,1905,7,7,0,0,0,4,0,1324,3022,4,0,0,0
23107,1642,MA,Suffolk (County),2128,3,3,0,0,0,2,0,2712,179,2,0,0,0
23108,1643,NH,Rockingham (County)(in (P,3833,11,10,0,0,0,4,0,2766,1850,4,0,0,0
23109,1642,MA,Essex (County)(in PMSA 11,1913,8,5,0,0,0,5,0,6076,1708,5,0,0,0
23110,1642,MA,Middlesex (County)(in (P),1850,17,16,0,0,0,13,0,21280,6712,12,1,0,0
23111,1643,NH,Merrimack (County),3304,1,1,0,0,0,1,0,0,920,1,0,0,0
23112,1642,MA,Essex (County)(in PMSA 11,1960,73,67,0,0,0,43,0,15340,52758,43,0,0,0
23113,1643,NH,Carroll (County),3886,1,1,0,0,0,0,0,0,0,0,0,0,0
23114,1643,NH,Rockingham (County)(in (P,3858,1,1,0,0,0,1,0,1042,890,1,0,0,0
23115,1642,MA,Middlesex (County)(in (P),1810,1,1,0,0,0,1,0,1128,0,1,0,0,0
23116,1643,NH,Hillsborough (County)(in,3104,7,5,0,0,0,0,0,0,0,0,0,0,0
